"1","Воткинск","Votkinsk","Во","Vo","3003"
"3","Москва","Moskva","Мо","Mo","3001"
"4","Казань","Kazan","Кз","Kz","3003"
"5","Хабаровск","Khabarovsk","Ха","Kh","3008"
"6","Пермь","Perm","Пе","Pe","3003"
"7","Санкт-Петербург","Sankt-Peterburg","СП","SP","3002"
"8","Петрозаводск","Petrozavodsk","Пе","Pe","3002"
"9","Кириши","Kirishi","Ки","Ki","3002"
"10","Нижний Новгород","Nizhnij Novgorod","НН","NN","3003"
"11","Челябинск","Cheljabinsk","Че","Ch","3006"
"12","Обнинск","Obninsk","Об","Ob","3001"
"13","Екатеринбург","Ekaterinburg","Ек","Ek","3006"
"15","Красноярск","Krasnojarsk","Кр","Kr","3007"
"16","Разметелево","Razmetelevo","Ра","Ra","3002"
"17","Ижевск","Izhevsk","Иж","Iz","3003"
"19","Новосибирск","Novosibirsk","Но","No","3007"
"23","Владивосток","Vladivostok","Вл","Vl","3008"
"25","Жуковский","Zhukovskij","Жу","Zh","3001"
"27","Высокая Гора","Vysokaja Gora","ВГ","VG","3003"
"28","Сочи","Sochi","Со","So","3004"
"29","Томск","Tomsk","То","To","3007"
"30","Барнаул","Barnaul","Ба","Ba","3007"
"31","Луга","Luga","Лу","Lu","3002"
"32","Ростов-на-Дону","Rostov-na-Donu","РД","RD","3004"
"33","Ступино","Stupino","Ст","St","3001"
"34","Красково","Kraskovo","Кр","Kr","3001"
"36","Самара","Samara","Са","Sa","3003"
"37","Киров","Kirov","Ки","Ki","3003"
"38","Ярославль","Jaroslavl","Яр","Ja","3001"
"39","Кемерово","Kemerovo","Ке","Ke","3007"
"42","Воронеж","Voronezh","Во","Vo","3001"
"43","Улан-Удэ","Ulan-UdeE","УУ","UU","3007"
"44","Южно-Сахалинск","Juzhno-Sakhalinsk","ЮС","JS","3008"
"46","Волгоград","Volgograd","Во","Vo","3004"
"47","Болгар","Bulgar","Бу","Bu","3003"
"48","Салаир","Salair","Са","Sa","3007"
"49","Оренбург","Orenburg","Ор","Or","3003"
"50","Якутск","Jakutsk","Як","Ja","3008"
"52","Уфа","Ufa","Уф","Uf","3003"
"54","Отрадное","Otradnoe","От","Ot","3002"
"55","Мытищи","Mytishchi","Мы","My","3001"
"56","Альметьевск","Almetjevsk","Ал","Al","3003"
"57","Нея","Neja","Не","Ne","3001"
"58","Омск","Omsk","Ом","Om","3007"
"59","Орск","Orsk","Ос","Os","3003"
"60","Астрахань","Astrakhan","Ас","As","3004"
"61","Тверь","Tver","Тв","Tv","3001"
"62","Биробиджан","Birobidzhan","Би","Bi","3008"
"63","Архангельск","Arkhangelsk","Ар","Ar","3002"
"64","Королев","Koroljov","Ко","Ko","3001"
